what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1465782074148
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1465782074164
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1465782074195
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1465782074211
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1465782074211
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1465782074226
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1465782074242
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1465782074257
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1465782074304
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1465782074320
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1465782074335
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1465782074335
started,bundle,com.altera.sbtgui.integration,13.1.0.182,"com.altera.sbtgui.integration",1465782074335
started,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1465782074351
started,bundle,com.altera.systemconsole,13.1.0.182,"com.altera.systemconsole",1465782074351
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.182,"com.altera.systemconsole.designs.plugin",1465782074351
started,bundle,com.altera.utilities,13.1.0.182,"com.altera.utilities",1465782074351
os,sysinfo,,,"win32",1465782074367
arch,sysinfo,,,"x86",1465782074367
ws,sysinfo,,,"win32",1465782074367
locale,sysinfo,,,"zh_CN",1465782074367
processors,sysinfo,,,"4",1465782074367
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1465782074367
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1465782074367
